LIFEXPECT,INFDEATH,SCHOOLING,ADULTMORT,GDP,BMI,UNDER5DEATH
58.9,2,11.4,373.0,3136.92511,32.3,3
82.4,0,15.9,53.0,5585.258470000001,59.5,0
83.4,0,16.0,49.0,8989.8424,57.4,0
69.7,10,11.3,161.0,918.6771543,4.7,11
74.9,8,13.6,148.0,5814.863134,33.6,9
68.3,2,12.5,152.0,1161.76935,17.4,2
59.9,13,12.0,287.0,551.138346,24.3,20
73.5,0,14.3,133.0,493.775387,75.2,0
71.2,0,12.7,17.0,17321.833730000002,47.1,0
75.3,3,14.6,1.0,3828.9158899999998,61.2,3
75.8,15,14.5,16.0,1979.52569,66.1,18
66.3,6,10.8,215.0,6432.668768,48.6,7
62.3,66,10.0,291.0,693.8963828999999,18.5,93
71.3,4,15.3,195.0,2124.662666,61.3,5
77.1,1,13.3,75.0,3911.74689,64.2,1
77.0,0,15.5,116.0,15524.84247,64.0,0
69.4,15,12.1,184.0,2137.576852,44.7,17
72.0,0,10.8,13.0,285.83414,53.3,0
61.8,27,12.5,33.0,1313.889646,23.4,40
67.0,22,10.3,336.0,118.69383,31.8,32
